name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Kaapo Kahkonen,Kaapo,Kahkonen_SJS,Kahkonen,G,0,2022-11-29,SJS,MTL,1.5,6,3,7400,-11.2,31.4,12.7,1.72,7.4,21.299999999999997,43.11999999999999
Sergei Bobrovsky,Sergei,Bobrovsky_FLA,Bobrovsky,G,0,2022-11-29,FLA,CGY,1.5,6.5,3,7100,-9.1,30.7,13.3,1.87,7.1000000000000005,19.9,42.169999999999995
Thatcher Demko,Thatcher,Demko_VAN,Demko,G,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,8000,-0.7,31.4,14,1.75,8,16.05,39.8
Jake Allen,Jake,Allen_MTL,Allen,G,0,2022-11-29,MTL,SJS,-1.5,6,3,7800,-2.8,30.7,13.5,1.73,7.8,16.75,39.779999999999994
John Gibson,John,Gibson_ANA,Gibson,G,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,7000,-7.7,30.7,11.8,1.69,7,19.2,39.69
Andrei Vasilevskiy,Andrei,Vasilevskiy_TBL,Vasilevskiy,G,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,7100,-0.7,32.8,13.8,1.94,7.1000000000000005,16.75,39.59
Dan Vladar,Dan,Vladar_CGY,Vladar,G,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,8200,-2.8,28.1,14.2,1.73,8.2,15.450000000000001,39.57999999999999
Jonathan Quick,Jonathan,Quick_LAK,Quick,G,0,2022-11-29,LAK,SEA,-1.5,6,3.1,7800,-4.2,24.2,14.5,1.86,7.8,14.2,38.36
Alexandar Georgiev,Alexandar,Georgiev_COL,Georgiev,G,0,2022-11-29,COL,WPG,-1.5,6,3.2,8100,14.4,34.2,15.8,1.95,8.1,9.900000000000002,35.75
Semyon Varlamov,Semyon,Varlamov_NYI,Varlamov,G,0,2022-11-29,NYI,PHI,-1.5,6,3.4,8100,7,27.2,15.6,1.93,8.1,10.1,35.73
Felix Sandstrom,Felix,Sandstrom_PHI,Sandstrom,G,0,2022-11-29,PHI,NYI,1.5,6,2.6,7000,-4.9,21.4,12.4,1.77,7,13.149999999999999,34.32
Juuse Saros,Juuse,Saros_NSH,Saros,G,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,8500,12.3,26.3,16.1,1.89,8.5,7,33.49
Spencer Knight,Spencer,Knight_FLA,Knight,G,0,2022-11-29,FLA,CGY,1.5,6.5,3,7300,6.9,27.9,13.6,1.86,7.3,10.5,33.26
Connor Hellebuyck,Connor,Hellebuyck_WPG,Hellebuyck,G,0,2022-11-29,WPG,COL,1.5,6,2.8,7400,2.1,20.9,14,1.89,7.4,9.399999999999999,32.69
Linus Ullmark,Linus,Ullmark_BOS,Ullmark,G,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,8400,12.6,24.2,16.1,1.92,8.4,5.8,32.22
Jeremy Swayman,Jeremy,Swayman_BOS,Swayman,G,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,8400,0,14.4,14,1.67,8.4,7.2,31.270000000000003
Antti Raanta,Antti,Raanta_CAR,Raanta,G,0,2022-11-29,CAR,PIT,1.5,6,2.9,7500,-0.1,16.8,13.3,1.77,7.5,8.450000000000001,31.02
Casey DeSmith,Casey,DeSmith_PIT,DeSmith,G,0,2022-11-29,PIT,CAR,-1.5,6,3.1,7700,5.6,19.3,14.5,1.88,7.7,6.8500000000000005,30.93
Martin Jones,Martin,Jones_SEA,Jones,G,0,2022-11-29,SEA,LAK,1.5,6,2.9,7600,3.2,18.6,13.6,1.79,7.6000000000000005,7.700000000000001,30.689999999999998
Charlie Lindgren,Charlie,Lindgren_WSH,Lindgren,G,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,7500,-0.7,13.3,12.8,1.71,7.5,7,29.01
Nathan MacKinnon,Nathan,MacKinnon_COL,MacKinnon,C,1,2022-11-29,COL,WPG,-1.5,6,3.2,9600,5.8,22,17.4,1.81,9.6,8.1,36.91
Sidney Crosby,Sidney,Crosby_PIT,Crosby,C,1,2022-11-29,PIT,CAR,-1.5,6,3.1,7400,1.5,29.5,12.7,1.72,7.4,14,35.81999999999999
Brayden Point,Brayden,Point_TBL,Point,C,1,2022-11-29,TBL,BOS,1.5,6.5,2.9,5800,3,29.3,10.5,1.81,5.8,13.15,31.259999999999998
Pierre-Luc Dubois,Pierre-Luc,Dubois_WPG,Dubois,C,1,2022-11-29,WPG,COL,1.5,6,2.8,5700,3,32,9.1,1.6,5.7,14.5,30.9
Elias Pettersson,Elias,Pettersson_VAN,Pettersson,C,1,2022-11-29,VAN,WSH,-1.5,6.5,3.3,7400,15.8,20.8,17,2.3,7.4,2.5,29.2
